sensor_image,obj_id,obj_pose,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,move_1,move_2,move_3,move_4,move_5,move_6
image_1.png,1,"[0, 0, 0, 0, 0, 0]",1,0.0,-4.955545351860687,4.41405094588356,-0.28244806732875194,-2.4488137782843644,-179.21901857519674,0.0,0.0,0.0,0.0,0.0,0.0
image_2.png,1,"[0, 0, 0, 0, 0, 0]",2,0.0,-4.659174431133231,4.963151795743858,2.1482853893896756,-0.5175244664833838,-177.40767084130425,0.0,0.0,0.0,0.0,0.0,0.0
image_3.png,1,"[0, 0, 0, 0, 0, 0]",3,0.0,-4.100279752689045,4.4038367306910615,-1.4182594429360367,-1.1669732470144467,-54.912610595111616,0.0,0.0,0.0,0.0,0.0,0.0
image_4.png,1,"[0, 0, 0, 0, 0, 0]",4,0.0,2.49343425011908,3.0269647478815993,-2.159463562719508,0.018518124121068347,-37.36341890696252,0.0,0.0,0.0,0.0,0.0,0.0
image_5.png,1,"[0, 0, 0, 0, 0, 0]",5,0.0,-1.3310050841019807,4.249134574534921,0.22795486217524008,1.3797983148642974,-27.97045182572745,0.0,0.0,0.0,0.0,0.0,0.0
image_6.png,1,"[0, 0, 0, 0, 0, 0]",6,0.0,5.016092254648697,4.569232498746894,-1.1197283458570046,-1.7636203261526013,19.996668633575013,0.0,0.0,0.0,0.0,0.0,0.0
image_7.png,1,"[0, 0, 0, 0, 0, 0]",7,0.0,0.8824064495175694,5.31907698030872,-1.5715571903912444,-0.3715045489680251,33.105634146281744,0.0,0.0,0.0,0.0,0.0,0.0
image_8.png,1,"[0, 0, 0, 0, 0, 0]",8,0.0,1.8037817398856664,4.6012330309700875,1.7231312416269686,0.30769304859297986,49.56611654811317,0.0,0.0,0.0,0.0,0.0,0.0
image_9.png,1,"[0, 0, 0, 0, 0, 0]",9,0.0,0.5402647708338026,4.559705058284798,0.18297381638470078,-0.39673908928385027,100.47895968607077,0.0,0.0,0.0,0.0,0.0,0.0
image_10.png,1,"[0, 0, 0, 0, 0, 0]",10,0.0,-4.813011803598615,2.876559892718093,0.19529248899058826,-1.313674458475761,135.97243647689106,0.0,0.0,0.0,0.0,0.0,0.0
